"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
051920014,11,,1,2013,8936.70,5500.00,"**ES KENILWORTH AV 507-2 FT N OF E 43RD ST",0,1,"Struck to City","2014-06-03 14:51:11",8936.70,0.00,8936.70,272,"INVELON LLC",,"4115 WILKENS AVENUE SUITE 102",BALTIMORE,MD,21229,,1
7027D0025,12,,1,2013,450.85,4800.00,"**ES LEVIN RD 252 FT S OF RIVERSIDE RD",0,1,"Struck to City","2014-06-03 14:51:11",450.85,0.00,450.85,272,"INVELON LLC",,"4115 WILKENS AVENUE SUITE 102",BALTIMORE,MD,21229,2,2
011510034,13,,1,2013,3271.74,1000.00,"**ES N BOND ST SEC E HOFFMAN ST",0,1,"Struck to City","2014-06-03 14:51:11",3271.74,0.00,3271.74,272,"INVELON LLC",,"4115 WILKENS AVENUE SUITE 102",BALTIMORE,MD,21229,,1
8434C0006,17,,1,2013,1141.22,16400.00,"**ES N FOREST PARK AVE 372'6 NE CARMINE AVE",0,1,"Struck to City","2014-06-03 14:51:11",1141.22,0.00,1141.22,272,"INVELON LLC",,"4115 WILKENS AVENUE SUITE 102",BALTIMORE,MD,21229,,1
04804016B,22,,1,2013,1349.34,1900.00,"**ES PIMLICO RD 99-3 N-ROSALIND AVE",0,1,"Struck to City","2014-06-03 14:51:11",1349.34,0.00,1349.34,272,"INVELON LLC",,"4115 WILKENS AVENUE SUITE 102",BALTIMORE,MD,21229,,1
074790021,23,,1,2013,485.34,9600.00,"**ES PUGET ST SEC HARMAN AV",0,1,"Struck to City","2014-06-03 14:51:11",485.34,0.00,485.34,272,"INVELON LLC",,"4115 WILKENS AVENUE SUITE 102",BALTIMORE,MD,21229,,1
074770040,24,,1,2013,577.36,3100.00,"**ES RIDGELY ST 192 FT S OF HARMAN AV",0,0,,,577.36,,,City,,,,,,,,1
2506A0046,30,,1,2013,349.38,400.00,"**ES 12 FT ALLEY 1ST E OF MT. HOLLY ST 105 FT S OF C",0,1,"Struck to City","2014-06-03 14:51:11",349.38,0.00,349.38,272,"INVELON LLC",,"4115 WILKENS AVENUE SUITE 102",BALTIMORE,MD,21229,,1
051500026,31,,1,2013,4080.75,800.00,"**ES 12 FT ALLEY 1ST E OF READY AVE 142-1 FT S OF HA",0,0,,,4080.75,,,City,,,,,,,,1
051500022,32,,1,2013,2529.94,800.00,"**ES 12 FT ALLEY 1ST E OF READY AVE 97-5 FT S OF HAR",0,0,,,2529.94,,,City,,,,,,,,1
4179E0135,34,,1,2013,489.74,6200.00,"**ES 15 FT ALLEY 1ST E OF KENTUCKY AV REAR 30000KENT",0,0,,,489.74,,,City,,,,,,,,1
02301046F,40,,1,2013,1402.18,3000.00,"**ES 20 FT ALLEY 1ST E OF N SMALLWOOD ST REAR 1715 N",0,0,,,1402.18,,,City,,,,,,,,1
024870086,43,,1,2013,582.73,1600.00,"**ES 31-6 FT CT 1ST W OF ALLENDALE ST 233-9 FT N OF",0,0,,,582.73,,,City,,,,,,,,1
042650002,48,,1,2013,1395.84,2700.00,"**NES ARMSTRONG AV NEC RIDGE AV",0,0,,,1395.84,,,City,,,,,,,,1
042650009,51,,1,2013,1967.37,4300.00,"**NES ARMSTRONG AV 175 FT N OF RIDGE AV",0,0,,,1967.37,,,City,,,,,,,,1
042650010,52,,1,2013,1839.94,4000.00,"**NES ARMSTRONG AV 200 FT N OF RIDGE AV",0,0,,,1839.94,,,City,,,,,,,,1
042650012,54,,1,2013,1971.17,3400.00,"**NES ARMSTRONG AV 250 FT N OF RIDGE AV",0,0,,,1971.17,,,City,,,,,,,,1
4190A0061,68,,1,2013,543.71,1300.00,"**NES 10 FT ALLEY 1ST NE OF CLIFTON PK. TER 139-9 FT",0,0,,,543.71,,,City,,,,,,,,1
