"Account Number","Adv Number","Certificate Number","Batch Number","Tax Year","Face Amount","Assessed Value","Property Address",Homestead,Removed,"Removed Because","Removed Time Stamp","Winning Bid","Winning Premium","Winning Amount Due","Winning Bidder","Winning Bidder Name","Winning Bidder Business Name","Winning Bidder Address","Winning Bidder City","Winning Bidder State","Winning Bidder Zip","Num Ties","Num Bids"
5140E0050,1,,1,2011,2109.74,8200.00,"**ES ALHAMBRA AVE 69 FT N OF BEAVERBROOK RD",0,0,,,2109.74,,,City,,,,,,,,
05656010C,2,,1,2011,215777.91,13200.00,"**ES ASHLEY AV 233-8 FT S FLEETWOOD AV",0,0,,,215777.91,,,City,,,,,,,,
8139D0049,3,,1,2011,17867.21,13850.00,"**ES ATHOLWOOD LA 207-11 FT S OF FREDERICK AV",0,0,,,17867.21,,,City,,,,,,,,
081850013,4,,1,2011,1451.79,3090.00,"**ES CHAPELGATE LA 461'2 N OVERTON ST",0,0,,,1451.79,,,City,,,,,,,,
2880D0016,5,,1,2011,161410.64,19700.00,"**ES CHELSEA RD 243-11 FT S OF CLI0000 AVE",0,0,,,161410.64,,,City,,,,,,,,
02358048D,6,,1,2011,323.66,1900.00,"**ES CTR 20 FT PVT DR 158 FT W OF WHEELE0000E 125 FT",0,0,,,323.66,,,City,,,,,,,,
0055D0090,7,,1,2011,397.30,1000.00,"**ES DEWBERRY ALLEY 72-9 FT S OF WINCHESTER ST",0,0,,,397.30,,,City,,,,,,,,
3100E0026,8,,1,2011,376.38,600.00,"**ES ELLAMONT RD 95 FT NE OF SEQUOIA AV",0,0,,,376.38,,,City,,,,,,,,
7567A0007,9,,1,2011,693.60,26400.00,"**ES ENGLISH CONSUL AV 649 FT N OF CHAHULL AV",0,1,"Removed from Sale","2012-03-28 17:44:56",,,,,,,,,,,,
7567A0006,10,,1,2011,879.99,33600.00,"**ES ENGLISH CONSUL AV 674 FT N OF CHAHULL AV",0,1,"Removed from Sale","2012-03-28 17:44:56",,,,,,,,,,,,
7567A0012,11,,1,2011,677.95,25800.00,"**ES ENGLISH CONSUL AVE 524 FT N OF CHAHULL AVE",0,1,"Removed from Sale","2012-03-28 17:44:56",,,,,,,,,,,,
4536A135A,12,,1,2011,5350.78,2400.00,"**ES ETHELBERT AV 390 FT N OF HAYWARD AV",0,0,,,5350.78,,,City,,,,,,,,
05411006A,13,,1,2011,3836.10,2900.00,"**ES FAIR OAKS AV 100 FT S OF EVERGREEN AV 0000",0,0,,,3836.10,,,City,,,,,,,,
054320033,14,,1,2011,1214.81,1800.00,"**ES FAIR OAKS AV 810-6 FT S OF WESTFIELD AV",0,0,,,1214.81,,,City,,,,,,,,
5818A0111,15,,1,2011,295007.25,14400.00,"**ES FRANKFORD AV 210-9 FT S OF BELLE VISTA AV",0,0,,,295007.25,,,City,,,,,,,,
075670029,16,,1,2011,25248.37,5000.00,"**ES GERANIUM AV 139 FT S OF MAGNOLIA AV",0,0,,,25248.37,,,City,,,,,,,,
075670028,17,,1,2011,24948.17,5000.00,"**ES GERANIUM AV 164 FT S OF MAGNOLIA AV",0,0,,,24948.17,,,City,,,,,,,,
4048A016A,18,,1,2011,9396.55,1000.00,"**ES GREENMOUNT AV 261 FT S OF CHESTNUT HILL AV",0,0,,,9396.55,,,City,,,,,,,,
3357H0019,19,,1,2011,152552.69,8200.00,"**ES GREENSPRING AV 123-5 FT S OF PARK HILL AV",0,0,,,152552.69,,,City,,,,,,,,
081860009,20,,1,2011,357.66,2490.00,"**ES HAZLETT AV 500 FT N OF OVERTON ST",0,1,"Removed from Sale","2012-04-25 12:00:19",,,,,,,,,,,,
08186002A,21,,1,2011,1366.22,1990.00,"**ES HAZLETT AV 80 FT N OF N OVERTON ST",0,0,,,1366.22,,,City,,,,,,,,
7492C0199,22,,1,2011,1856.46,65600.00,"**ES HURON ST 116-8 FT N OF SOUTHDENE AV",0,0,,,2975.00,0.00,1856.46,107,"2012 Municipal Investments, LLC",,"11426 York Road",Cockeysville,MD,21030,,2
6543C0006,23,,1,2011,1257.13,44900.00,"**ES IRIS AV 718 FT S OF EASTERN AV",0,1,"Removed from Sale","2012-04-25 12:00:19",,,,,,,,,,,,
4652D0063,24,,1,2011,1208.31,39600.00,"**ES IVYDENE TER 101-6 FT N OF NORTHCLIFF DR",0,1,"Removed from Sale","2012-04-11 15:09:06",,,,,,,,,,,,
019470001,25,,1,2011,167802.81,49700.00,"**ES JOHNSON ST 98-8 S WELLS ST",0,0,,,167802.81,,,City,,,,,,,,
051920003,26,,1,2011,1986.65,6000.00,"**ES KENILWORTH AV 242-5 FT N OF E 43RD ST",0,0,,,1986.65,,,City,,,,,,,,
